date,bucket,count
2012-07-20,800,119
2012-07-20,900,123
2012-07-20,1000,173
2012-07-20,1100,226
2012-07-20,1200,284
2012-07-21,1300,257
2012-07-21,1400,268
2012-07-21,1500,244
2012-07-21,1600,191
2012-07-21,1700,204
2012-07-22,1800,187
2012-07-22,1900,177
2012-07-22,2000,164
2012-07-22,2100,125
2012-07-22,2200,140
2012-07-23,2300,109
2012-07-23,2400,103
2012-07-23,800,123
2012-07-23,900,165
2012-07-23,1000,237
2012-07-24,1100,278
2012-07-24,1200,338
2012-07-24,1300,306
2012-07-24,1400,316
2012-07-24,1500,269
